Entity,Code,Year,Cumulative CO2 emissions from coal
Afghanistan,AFG,1949,14656
Afghanistan,AFG,1950,35724
Afghanistan,AFG,1951,61372
Afghanistan,AFG,1952,93080
Afghanistan,AFG,1953,131029
Afghanistan,AFG,1954,173531
Afghanistan,AFG,1955,235819
Afghanistan,AFG,1956,298107
Afghanistan,AFG,1957,375051
Afghanistan,AFG,1958,466651
Afghanistan,AFG,1959,576571
Afghanistan,AFG,1960,703686
Afghanistan,AFG,1961,879558
Afghanistan,AFG,1962,1176342
Afghanistan,AFG,1963,1440150
Afghanistan,AFG,1964,1740598
Afghanistan,AFG,1965,2121654
Afghanistan,AFG,1966,2550342
Afghanistan,AFG,1967,2949718
Afghanistan,AFG,1968,3282147
Afghanistan,AFG,1969,3644883
Afghanistan,AFG,1970,4081857
Afghanistan,AFG,1971,4440929
Afghanistan,AFG,1972,4631457
Afghanistan,AFG,1973,4942202
Afghanistan,AFG,1974,5246897
Afghanistan,AFG,1975,5645586
Afghanistan,AFG,1976,6070610
Afghanistan,AFG,1977,6521282
Afghanistan,AFG,1978,7097508
Afghanistan,AFG,1979,7449252
Afghanistan,AFG,1980,7765014
Afghanistan,AFG,1981,8098438
Afghanistan,AFG,1982,8483158
Afghanistan,AFG,1983,8867878
Afghanistan,AFG,1984,9260434
Afghanistan,AFG,1985,9660228
Afghanistan,AFG,1986,10085252
Afghanistan,AFG,1987,10528076
Afghanistan,AFG,1988,10894476
Afghanistan,AFG,1989,11231564
Afghanistan,AFG,1990,11510028
Afghanistan,AFG,1991,11759180
Afghanistan,AFG,1992,11781164
Afghanistan,AFG,1993,11799484
Afghanistan,AFG,1994,11814182
Afghanistan,AFG,1995,11828838
Afghanistan,AFG,1996,11836166
Afghanistan,AFG,1997,11839842
Afghanistan,AFG,1998,11843519
Afghanistan,AFG,1999,11847183
Afghanistan,AFG,2000,11850847
Afghanistan,AFG,2001,11920463
Afghanistan,AFG,2002,11975423
Afghanistan,AFG,2003,12067023
Afghanistan,AFG,2004,12158623
Afghanistan,AFG,2005,12264879
Afghanistan,AFG,2006,12425737
Afghanistan,AFG,2007,13174401
Afghanistan,AFG,2008,14251617
Afghanistan,AFG,2009,15764849
Afghanistan,AFG,2010,18010881
Afghanistan,AFG,2011,22191505
Afghanistan,AFG,2012,25316897
Afghanistan,AFG,2013,28643809
Afghanistan,AFG,2014,32348113
Afghanistan,AFG,2015,35191377
Afghanistan,AFG,2016,38069709
Afghanistan,AFG,2017,41517533
Afghanistan,AFG,2018,45366426
Afghanistan,AFG,2019,52897332
Afghanistan,AFG,2020,60405273
Africa,,1884,21984
Africa,,1885,58624
Africa,,1886,106256
Africa,,1887,153888
Africa,,1888,234496
Africa,,1889,366400
Africa,,1890,663184
Africa,,1891,959968
Africa,,1892,1439952
Africa,,1893,3238976
Africa,,1894,5671872
Africa,,1895,9009776
Africa,,1896,13267344
Africa,,1897,18045200
Africa,,1898,24094464
Africa,,1899,29612448
Africa,,1900,31942752
Africa,,1901,35852240
Africa,,1902,41678000
Africa,,1903,49573920
Africa,,1904,58484768
Africa,,1905,68747632
Africa,,1906,80465104
Africa,,1907,93395360
Africa,,1908,106798272
Africa,,1909,122183408
Africa,,1910,139594736
Africa,,1911,156449136
Africa,,1912,174318464
Africa,,1913,193884224
Africa,,1914,213127552
Africa,,1915,232642016
Africa,,1916,255714224
Africa,,1917,280633088
Africa,,1918,304489392
Africa,,1919,329240323
Africa,,1920,356833907
Africa,,1921,384258947
Africa,,1922,407694349
Africa,,1923,436266221
Africa,,1924,466392443
Africa,,1925,498016427
Africa,,1926,531919419
Africa,,1927,565188539
Africa,,1928,599003595
Africa,,1929,633593507
Africa,,1930,666148147
Africa,,1931,694455272
Africa,,1932,719810152
Africa,,1933,747100357
Africa,,1934,778423866
Africa,,1935,813166805
Africa,,1936,850931653
Africa,,1937,891513981
Africa,,1938,934073677
Africa,,1939,978031052
Africa,,1940,1024070372
Africa,,1941,1073512388
Africa,,1942,1127816367
Africa,,1943,1183052892
Africa,,1944,1244423481
Africa,,1945,1306726649
Africa,,1946,1369664396
Africa,,1947,1432079231
Africa,,1948,1496438324
Africa,,1949,1565018753
Africa,,1950,1633730161
Africa,,1951,1706035208
Africa,,1952,1784973821
Africa,,1953,1863876279
Africa,,1954,1945484567
Africa,,1955,2037082605
Africa,,1956,2132584949
Africa,,1957,2231880558
Africa,,1958,2335024807
Africa,,1959,2436700560
Africa,,1960,2540222859
Africa,,1961,2645225864
Africa,,1962,2751894263
Africa,,1963,2861080401
Africa,,1964,2976684830
Africa,,1965,3101575910
Africa,,1966,3225419185
Africa,,1967,3352520226
Africa,,1968,3485023769
Africa,,1969,3620215098
Africa,,1970,3760311903
Africa,,1971,3910218304
Africa,,1972,4064141821
Africa,,1973,4218433000
Africa,,1974,4375673731
Africa,,1975,4537860826
Africa,,1976,4709767186
Africa,,1977,4886460443
Africa,,1978,5065136208
Africa,,1979,5262498787
Africa,,1980,5474896347
Africa,,1981,5712236621
Africa,,1982,5962468599
Africa,,1983,6223412021
Africa,,1984,6509474733
Africa,,1985,6804171960
Africa,,1986,7109959326
Africa,,1987,7422477061
Africa,,1988,7745195895
Africa,,1989,8058677410
Africa,,1990,8354437836
Africa,,1991,8660945518
Africa,,1992,8949532126
Africa,,1993,9268387132
Africa,,1994,9599089177
Africa,,1995,9945953610
Africa,,1996,10299083984
Africa,,1997,10659921111
Africa,,1998,11015435311
Africa,,1999,11381957907
Africa,,2000,11752204853
Africa,,2001,12124185041
Africa,,2002,12485304045
Africa,,2003,12876196619
Africa,,2004,13293712109
Africa,,2005,13706503839
Africa,,2006,14125652270
Africa,,2007,14556058164
Africa,,2008,15010777833
Africa,,2009,15454067920
Africa,,2010,15895825145
Africa,,2011,16328756276
Africa,,2012,16758316221
Africa,,2013,17185656622
Africa,,2014,17640823835
Africa,,2015,18069396981
Africa,,2016,18503880687
Africa,,2017,18943550415
Africa,,2018,19394059612
Africa,,2019,19858620900
Africa,,2020,20304717938
Albania,ALB,1946,21984
Albania,ALB,1948,29312
Albania,ALB,1950,72744
Albania,ALB,1951,146024
Albania,ALB,1952,222221
Albania,ALB,1953,335805
Albania,ALB,1954,493357
Albania,ALB,1955,713197
Albania,ALB,1956,962349
Albania,ALB,1957,1237149
Albania,ALB,1958,1526605
Albania,ALB,1959,1863693
Albania,ALB,1960,2189789
Albania,ALB,1961,2511703
Albania,ALB,1962,2874439
Albania,ALB,1963,3156567
Albania,ALB,1964,3489991
Albania,ALB,1965,3885037
Albania,ALB,1966,4362042
Albania,ALB,1967,4885994
Albania,ALB,1968,5475898
Albania,ALB,1969,6164730
Albania,ALB,1970,7055955
Albania,ALB,1971,8045235
Albania,ALB,1972,9126115
Albania,ALB,1973,10294931
Albania,ALB,1974,11505072
Albania,ALB,1975,12765488
Albania,ALB,1976,14037838
Albania,ALB,1977,15736845
Albania,ALB,1978,17863166
Albania,ALB,1979,20543918
Albania,ALB,1980,22866894
Albania,ALB,1981,25510981
Albania,ALB,1982,28390885
Albania,ALB,1983,31494293
Albania,ALB,1984,34894485
Albania,ALB,1985,38617109
Albania,ALB,1986,42325077
Albania,ALB,1987,46060533
Albania,ALB,1988,50078288
Albania,ALB,1989,54134336
Albania,ALB,1990,56633184
Albania,ALB,1991,58113440
Albania,ALB,1992,58913367
Albania,ALB,1993,59513314
Albania,ALB,1994,59681858
Albania,ALB,1995,59843074
Albania,ALB,1996,59956658
Albania,ALB,1997,60000626
Albania,ALB,1998,60055471
Albania,ALB,1999,60165527
Albania,ALB,2000,60235058
Albania,ALB,2001,60315666
Albania,ALB,2002,60399938
Albania,ALB,2003,60484210
Albania,ALB,2004,60568482
Albania,ALB,2005,60641698
Albania,ALB,2006,60714908
Albania,ALB,2007,60788118
Albania,ALB,2008,60890710
Albania,ALB,2009,61279094
Albania,ALB,2010,61707782
Albania,ALB,2011,62242726
Albania,ALB,2012,62869270
Albania,ALB,2013,63664358
Albania,ALB,2014,64693271
Albania,ALB,2015,65015703
Albania,ALB,2016,65206231
Albania,ALB,2017,65480841
Albania,ALB,2018,65953497
Albania,ALB,2019,66502894
Albania,ALB,2020,66964258
Algeria,DZA,1917,3664
Algeria,DZA,1918,18320
Algeria,DZA,1919,33587
Algeria,DZA,1920,51907
Algeria,DZA,1921,77555
Algeria,DZA,1922,99997
Algeria,DZA,1923,110989
Algeria,DZA,1924,133787
Algeria,DZA,1925,159435
Algeria,DZA,1926,196075
Algeria,DZA,1927,251035
Algeria,DZA,1928,295003
Algeria,DZA,1929,337059
Algeria,DZA,1930,381027
Algeria,DZA,1931,438101
Algeria,DZA,1932,504053
Algeria,DZA,1933,584661
Algeria,DZA,1934,676261
Algeria,DZA,1935,776080
Algeria,DZA,1936,794400
Algeria,DZA,1937,831040
Algeria,DZA,1938,864016
Algeria,DZA,1939,915312
Algeria,DZA,1940,1061872
Algeria,DZA,1941,1274384
Algeria,DZA,1942,1666432
Algeria,DZA,1943,1977872
Algeria,DZA,1944,2294313
Algeria,DZA,1945,2723001
Algeria,DZA,1946,3291850
Algeria,DZA,1947,3837786
Algeria,DZA,1948,4435951
Algeria,DZA,1949,5142287
Algeria,DZA,1950,7025583
Algeria,DZA,1951,9066431
Algeria,DZA,1952,10909423
Algeria,DZA,1953,12457048
Algeria,DZA,1954,13940968
Algeria,DZA,1955,15534808
Algeria,DZA,1956,17295901
Algeria,DZA,1957,19270797
Algeria,DZA,1958,21080813
Algeria,DZA,1959,22542749
Algeria,DZA,1960,23799501
Algeria,DZA,1961,24564814
Algeria,DZA,1962,24971255
Algeria,DZA,1963,25224071
Algeria,DZA,1964,25506199
Algeria,DZA,1965,25770154
Algeria,DZA,1966,26041290
Algeria,DZA,1967,26231735
Algeria,DZA,1968,26433337
Algeria,DZA,1969,26883862
Algeria,DZA,1970,27854822
Algeria,DZA,1971,28756166
Algeria,DZA,1972,29404694
Algeria,DZA,1973,30225430
Algeria,DZA,1974,30925254
Algeria,DZA,1975,31716587
Algeria,DZA,1976,32302772
Algeria,DZA,1977,32907332
Algeria,DZA,1978,33478916
Algeria,DZA,1979,34372932
Algeria,DZA,1980,35981428
Algeria,DZA,1981,37890523
Algeria,DZA,1982,39865419
Algeria,DZA,1983,43013014
Algeria,DZA,1984,47039750
Algeria,DZA,1985,50117510
Algeria,DZA,1986,52843526
Algeria,DZA,1987,55811366
Algeria,DZA,1988,58786404
Algeria,DZA,1989,61772564
Algeria,DZA,1990,64714756
Algeria,DZA,1991,67404132
Algeria,DZA,1992,69782068
Algeria,DZA,1993,71705668
Algeria,DZA,1994,73991906
Algeria,DZA,1995,75926498
Algeria,DZA,1996,77333474
Algeria,DZA,1997,78714802
Algeria,DZA,1998,80825266
Algeria,DZA,1999,82997931
Algeria,DZA,2000,84958171
Algeria,DZA,2001,87053979
Algeria,DZA,2002,89662747
Algeria,DZA,2003,92451051
Algeria,DZA,2004,94374651
Algeria,DZA,2005,96737931
Algeria,DZA,2006,99438299
Algeria,DZA,2007,102450107
Algeria,DZA,2008,105458353
Algeria,DZA,2009,107052193
Algeria,DZA,2010,108268679
Algeria,DZA,2011,109316551
Algeria,DZA,2012,110353433
Algeria,DZA,2013,111078905
Algeria,DZA,2014,111624841
Algeria,DZA,2015,112126809
Algeria,DZA,2017,112921897
Algeria,DZA,2018,114251899
Algeria,DZA,2019,115350505
Algeria,DZA,2020,116449111
Angola,AGO,1950,59796
Angola,AGO,1951,155060
Angola,AGO,1952,275972
Angola,AGO,1953,345588
Angola,AGO,1954,421731
Angola,AGO,1955,506003
Angola,AGO,1956,546307
Angola,AGO,1957,626915
Angola,AGO,1958,670883
Angola,AGO,1959,725843
Angola,AGO,1960,849594
Angola,AGO,1961,912388
Angola,AGO,1962,1003704
Angola,AGO,1963,1025688
Angola,AGO,1964,1102632
Angola,AGO,1965,1157592
Angola,AGO,1966,1245528
Angola,AGO,1967,1300488
Angola,AGO,1968,1402856
Angola,AGO,1969,1494577
Angola,AGO,1970,1542160
Angola,AGO,1971,1571441
Angola,AGO,1972,1578763
Angola,AGO,1973,1600747
Argentina,ARG,1887,1084544
Argentina,ARG,1888,1974896
Argentina,ARG,1889,3729952
Argentina,ARG,1890,5100288
Argentina,ARG,1891,6038272
Argentina,ARG,1892,7423264
Argentina,ARG,1893,8976800
Argentina,ARG,1894,10970016
Argentina,ARG,1895,13234368
Argentina,ARG,1896,15539024
Argentina,ARG,1897,17620176
Argentina,ARG,1898,19968800
Argentina,ARG,1899,22889008
Argentina,ARG,1900,24959168
Argentina,ARG,1901,27450688
Argentina,ARG,1902,30264640
Argentina,ARG,1903,33126224
Argentina,ARG,1904,36922128
Argentina,ARG,1905,40904896
Argentina,ARG,1906,47159344
Argentina,ARG,1907,53413792
Argentina,ARG,1908,61023920
Argentina,ARG,1909,66948615
Argentina,ARG,1910,75844812
Argentina,ARG,1911,85781580
Argentina,ARG,1912,95238364
Argentina,ARG,1913,105325335
Argentina,ARG,1914,113873394
Argentina,ARG,1915,120574724
Argentina,ARG,1916,125161758
Argentina,ARG,1917,126825214
Argentina,ARG,1918,128715838
Argentina,ARG,1919,131819246
Argentina,ARG,1920,136941518
Argentina,ARG,1921,141506862
Argentina,ARG,1922,147395618
Argentina,ARG,1923,154239275
Argentina,ARG,1924,162992571
Argentina,ARG,1925,171342827
Argentina,ARG,1926,178794164
Argentina,ARG,1927,188051964
Argentina,ARG,1928,196336268
Argentina,ARG,1929,204657212
Argentina,ARG,1930,212776636
Argentina,ARG,1931,219723580
Argentina,ARG,1932,226054972
Argentina,ARG,1933,232014286
Argentina,ARG,1934,238594830
Argentina,ARG,1935,244931544
Argentina,ARG,1936,251918792
Argentina,ARG,1937,260076732
Argentina,ARG,1938,267472341
Argentina,ARG,1939,275236357
Argentina,ARG,1940,280605357
Argentina,ARG,1941,283291069
Argentina,ARG,1942,284676437
Argentina,ARG,1943,286225906
Argentina,ARG,1944,287874706
Argentina,ARG,1945,289919218
Argentina,ARG,1946,292960338
Argentina,ARG,1947,296214791
Argentina,ARG,1948,302029559
Argentina,ARG,1949,305627607
Argentina,ARG,1950,309189015
Argentina,ARG,1951,314659367
Argentina,ARG,1952,319166087
Argentina,ARG,1953,322280487
Argentina,ARG,1954,326002740
Argentina,ARG,1955,329212404
Argentina,ARG,1956,333026628
Argentina,ARG,1957,336386516
Argentina,ARG,1958,340167764
Argentina,ARG,1959,343897716
Argentina,ARG,1960,347803540
Argentina,ARG,1961,351342964
Argentina,ARG,1962,353350836
Argentina,ARG,1963,355655492
Argentina,ARG,1964,358212796
Argentina,ARG,1965,360814236
Argentina,ARG,1966,363401020
Argentina,ARG,1967,366339877
Argentina,ARG,1968,368706821
Argentina,ARG,1969,371297269
Argentina,ARG,1970,374583877
Argentina,ARG,1971,377511413
Argentina,ARG,1972,380369333
Argentina,ARG,1973,383249237
Argentina,ARG,1974,386616453
Argentina,ARG,1975,390210837
Argentina,ARG,1976,393449932
Argentina,ARG,1977,396153866
Argentina,ARG,1978,399986410
Argentina,ARG,1979,403588122
Argentina,ARG,1980,406453370
Argentina,ARG,1981,409410218
Argentina,ARG,1982,412070376
Argentina,ARG,1983,414261448
Argentina,ARG,1984,416408626
Argentina,ARG,1985,419182173
Argentina,ARG,1986,422575037
Argentina,ARG,1987,426352621
Argentina,ARG,1988,430375814
Argentina,ARG,1989,434519798
Argentina,ARG,1990,437590230
Argentina,ARG,1991,440279606
Argentina,ARG,1992,443082566
Argentina,ARG,1993,445383702
Argentina,ARG,1994,448945003
Argentina,ARG,1995,452645750
Argentina,ARG,1996,455745409
Argentina,ARG,1997,458522721
Argentina,ARG,1998,461362321
Argentina,ARG,1999,463516807
Argentina,ARG,2000,465172978
Argentina,ARG,2001,466462706
Argentina,ARG,2002,467561938
Argentina,ARG,2003,469551490
Argentina,ARG,2004,471749839
